name,continente,region
Angola,África,África
Argelia,África,África
Benín,África,África
Botsuana,África,África
Burkina Faso,África,África
Burundi,África,África
Cabo Verde,África,África
Camerún,África,África
Chad,África,África
Comoras,África,África
Congo,África,África
Costa de Marfil,África,África
Egipto,África,África
Eritrea,África,África
Esuatini,África,África
Etiopía,África,África
Gabón,África,África
Gambia,África,África
Ghana,África,África
Guinea,África,África
Guinea Ecuatorial,África,África
Guinea-Bisáu,África,África
Kenia,África,África
Lesoto,África,África
Liberia,África,África
Libia,África,África
Madagascar,África,África
Malaui,África,África
Malí,África,África
Marruecos,África,África
Mauricio,África,África
Mauritania,África,África
Mozambique,África,África
Namibia,África,África
Níger,África,África
Nigeria,África,África
República Centroafricana,África,África
República Democrática del Congo,África,África
Ruanda,África,África
Santo Tomé y Príncipe,África,África
Senegal,África,África
Seychelles,África,África
Sierra Leona,África,África
Somalia,África,África
Sudáfrica,África,África
Sudán,África,África
Sudán del Sur,África,África
Tanzania,África,África
Togo,África,África
Túnez,África,África
Uganda,África,África
Yibuti,África,África
Zambia,África,África
Zimbabue,África,África
Antigua y Barbuda,América,Centroamérica y el Caribe
Argentina,América,Sudamérica
Bahamas,América,Centroamérica y el Caribe
Barbados,América,Centroamérica y el Caribe
Belice,América,Centroamérica y el Caribe
Bolivia,América,Sudamérica
Brasil,América,Sudamérica
Canadá,América,Norteamérica
Chile,América,Sudamérica
Colombia,América,Sudamérica
Costa Rica,América,Centroamérica y el Caribe
Cuba,América,Centroamérica y el Caribe
Dominica,América,Centroamérica y el Caribe
Ecuador,América,Sudamérica
El Salvador,América,Centroamérica y el Caribe
Estados Unidos,América,Norteamérica
Granada,América,Centroamérica y el Caribe
Guatemala,América,Centroamérica y el Caribe
Guyana,América,Sudamérica
Haití,América,Centroamérica y el Caribe
Honduras,América,Centroamérica y el Caribe
Jamaica,América,Centroamérica y el Caribe
México,América,Norteamérica
Nicaragua,América,Centroamérica y el Caribe
Panamá,América,Centroamérica y el Caribe
Paraguay,América,Sudamérica
Perú,América,Sudamérica
Puerto Rico,América,Centroamérica y el Caribe
República Dominicana,América,Centroamérica y el Caribe
San Cristóbal y Nieves,América,Centroamérica y el Caribe
San Vicente y las Granadinas,América,Centroamérica y el Caribe
Santa Lucía,América,Centroamérica y el Caribe
Surinam,América,Sudamérica
Trinidad y Tobago,América,Centroamérica y el Caribe
Uruguay,América,Sudamérica
Venezuela,América,Sudamérica
Afganistán,Asia,Asia
Arabia Saudita,Asia,Asia
Armenia,Asia,Asia
Azerbaiyán,Asia,Asia
Bangladés,Asia,Asia
Baréin,Asia,Asia
Birmania,Asia,Asia
Brunéi,Asia,Asia
Bután,Asia,Asia
Camboya,Asia,Asia
Catar,Asia,Asia
China,Asia,Asia
Corea del Norte,Asia,Asia
Corea del Sur,Asia,Asia
Emiratos Árabes Unidos,Asia,Asia
Filipinas,Asia,Asia
Georgia,Asia,Asia
India,Asia,Asia
Indonesia,Asia,Asia
Irak,Asia,Asia
Irán,Asia,Asia
Israel,Asia,Asia
Japón,Asia,Asia
Jordania,Asia,Asia
Kazajistán,Asia,Asia
Kirguistán,Asia,Asia
Kuwait,Asia,Asia
Laos,Asia,Asia
Líbano,Asia,Asia
Malasia,Asia,Asia
Maldivas,Asia,Asia
Mongolia,Asia,Asia
Nepal,Asia,Asia
Omán,Asia,Asia
Pakistán,Asia,Asia
Palestina,Asia,Asia
Singapur,Asia,Asia
Siria,Asia,Asia
Sri Lanka,Asia,Asia
Tailandia,Asia,Asia
Taiwán,Asia,Asia
Tayikistán,Asia,Asia
Turkmenistán,Asia,Asia
Uzbekistán,Asia,Asia
Vietnam,Asia,Asia
Yemen,Asia,Asia
Albania,Europa,Europa
Alemania,Europa,Europa
Andorra,Europa,Europa
Austria,Europa,Europa
Bélgica,Europa,Europa
Bielorrusia,Europa,Europa
Bosnia-Herzegovina,Europa,Europa
Bulgaria,Europa,Europa
Chipre,Europa,Europa
Croacia,Europa,Europa
Dinamarca,Europa,Europa
Eslovaquia,Europa,Europa
Eslovenia,Europa,Europa
España,Europa,Europa
Estonia,Europa,Europa
Finlandia,Europa,Europa
Francia,Europa,Europa
Grecia,Europa,Europa
Hungría,Europa,Europa
Irlanda,Europa,Europa
Islandia,Europa,Europa
Italia,Europa,Europa
Kosovo,Europa,Europa
Letonia,Europa,Europa
Liechtenstein,Europa,Europa
Lituania,Europa,Europa
Luxemburgo,Europa,Europa
Macedonia del Norte,Europa,Europa
Malta,Europa,Europa
Moldavia,Europa,Europa
Mónaco,Europa,Europa
Montenegro,Europa,Europa
Noruega,Europa,Europa
Países Bajos,Europa,Europa
Polonia,Europa,Europa
Portugal,Europa,Europa
Reino Unido,Europa,Europa
República Checa,Europa,Europa
Rumania,Europa,Europa
Rusia,Europa,Europa
San Marino,Europa,Europa
Serbia,Europa,Europa
Suecia,Europa,Europa
Suiza,Europa,Europa
Turquía,Europa,Europa
Ucrania,Europa,Europa
Vaticano,Europa,Europa
Australia,Oceanía,Oceanía
Fiyi,Oceanía,Oceanía
Islas Marshall,Oceanía,Oceanía
Islas Salomón,Oceanía,Oceanía
Kiribati,Oceanía,Oceanía
Micronesia,Oceanía,Oceanía
Nauru,Oceanía,Oceanía
Nueva Zelanda,Oceanía,Oceanía
Palaos,Oceanía,Oceanía
Papúa Nueva Guinea,Oceanía,Oceanía
Samoa,Oceanía,Oceanía
Timor Oriental,Oceanía,Oceanía
Tonga,Oceanía,Oceanía
Tuvalu,Oceanía,Oceanía
Vanuatu,Oceanía,Oceanía
